byte,input,output,counter_before,lfsr_before,positions_before,step_mask,center_mask,center_input,center_output,counter_after,lfsr_after,positions_after
0,00,fa,0000000000000000,f4945e1ad9283950,48b10cb8,03,ea,eb,01,0000000000000001,7a4a2f0d6c941ca8,49b20cb8
1,49,33,0000000000000001,7a4a2f0d6c941ca8,49b20cb8,02,06,5b,5d,0000000000000002,3d251786b64a0e54,49b30cb8
2,92,3f,0000000000000002,3d251786b64a0e54,49b30cb8,0a,9c,21,bd,0000000000000003,1e928bc35b25072a,49b40cb9
3,db,13,0000000000000003,1e928bc35b25072a,49b40cb9,02,98,9f,07,0000000000000004,0f4945e1ad928395,49b50cb9
4,25,3d,0000000000000004,0f4945e1ad928395,49b50cb9,04,68,94,fc,0000000000000005,dfa4a2f0d6c941ca,49b50db9
5,6c,f6,0000000000000005,dfa4a2f0d6c941ca,49b50db9,02,22,b8,9a,0000000000000006,6fd251786b64a0e5,49b60db9
6,b7,89,0000000000000006,6fd251786b64a0e5,49b60db9,09,97,94,03,0000000000000007,efe928bc35b25072,4ab60dba
7,fe,a4,0000000000000007,efe928bc35b25072,4ab60dba,06,bc,d9,65,0000000000000008,77f4945e1ad92839,4ab70eba
8,4a,ab,0000000000000008,77f4945e1ad92839,4ab70eba,08,8b,a7,2c,0000000000000009,e3fa4a2f0d6c941c,4ab70ebb
9,93,82,0000000000000009,e3fa4a2f0d6c941c,4ab70ebb,0f,c1,8b,4a,000000000000000a,71fd251786b64a0e,4bb80fbc
10,d8,39,000000000000000a,71fd251786b64a0e,4bb80fbc,06,02,94,96,000000000000000b,38fe928bc35b2507,4bb910bc
11,21,0b,000000000000000b,38fe928bc35b2507,4bb910bc,07,b9,cd,74,000000000000000c,c47f4945e1ad9283,4cba11bc
12,6f,ae,000000000000000c,c47f4945e1ad9283,4cba11bc,01,91,d7,46,000000000000000d,ba3fa4a2f0d6c941,4dba11bc
13,b6,19,000000000000000d,ba3fa4a2f0d6c941,4dba11bc,0a,85,30,b5,000000000000000e,851fd251786b64a0,4dbb11bd
14,fd,d1,000000000000000e,851fd251786b64a0,4dbb11bd,05,56,43,15,000000000000000f,428fe928bc35b250,4ebb12bd
15,44,c5,000000000000000f,428fe928bc35b250,4ebb12bd,02,1b,f3,e8,0000000000000010,2147f4945e1ad928,4ebc12bd
16,94,b1,0000000000000010,2147f4945e1ad928,4ebc12bd,0c,50,84,d4,0000000000000011,10a3fa4a2f0d6c94,4ebc13be
17,dd,7d,0000000000000011,10a3fa4a2f0d6c94,4ebc13be,0f,46,17,51,0000000000000012,0851fd251786b64a,4fbd14bf
18,26,ea,0000000000000012,0851fd251786b64a,4fbd14bf,07,ef,d6,39,0000000000000013,0428fe928bc35b25,50be15bf
19,6f,ac,0000000000000013,0428fe928bc35b25,50be15bf,0c,08,54,5c,0000000000000014,da147f4945e1ad92,50be16c0
20,b1,c4,0000000000000014,da147f4945e1ad92,50be16c0,03,ec,ca,26,0000000000000015,6d0a3fa4a2f0d6c9,51bf16c0
21,f8,66,0000000000000015,6d0a3fa4a2f0d6c9,51bf16c0,02,06,7e,78,0000000000000016,ee851fd251786b64,51c016c0
22,43,1e,0000000000000016,ee851fd251786b64,51c016c0,03,51,81,d0,0000000000000017,77428fe928bc35b2,52c116c0
23,8a,10,0000000000000017,77428fe928bc35b2,52c116c0,0d,8e,66,e8,0000000000000018,3ba147f4945e1ad9,53c117c1
24,de,3d,0000000000000018,3ba147f4945e1ad9,53c117c1,05,54,a8,fc,0000000000000019,c5d0a3fa4a2f0d6c,54c118c1
25,27,49,0000000000000019,c5d0a3fa4a2f0d6c,54c118c1,0e,89,91,18,000000000000001a,62e851fd251786b6,54c219c2
26,6c,e2,000000000000001a,62e851fd251786b6,54c219c2,0e,91,df,4e,000000000000001b,317428fe928bc35b,54c31ac3
27,b5,dd,000000000000001b,317428fe928bc35b,54c31ac3,0b,fe,6e,90,000000000000001c,c0ba147f4945e1ad,55c41ac4
28,fb,83,000000000000001c,c0ba147f4945e1ad,55c41ac4,01,ef,60,8f,000000000000001d,b85d0a3fa4a2f0d6,56c41ac4
29,42,47,000000000000001d,b85d0a3fa4a2f0d6,56c41ac4,00,6e,69,07,000000000000001e,5c2e851fd251786b,56c41ac4
30,89,9b,000000000000001e,5c2e851fd251786b,56c41ac4,02,ea,4a,a0,000000000000001f,f617428fe928bc35,56c51ac4
31,d0,69,000000000000001f,f617428fe928bc35,56c51ac4,06,c9,74,bd,0000000000000020,a30ba147f4945e1a,56c61bc4
32,28,e3,0000000000000020,a30ba147f4945e1a,56c61bc4,08,76,22,54,0000000000000021,5185d0a3fa4a2f0d,56c61bc5
33,61,86,0000000000000021,5185d0a3fa4a2f0d,56c61bc5,06,4a,e7,ad,0000000000000022,f0c2e851fd251786,56c71cc5
34,ba,ea,0000000000000022,f0c2e851fd251786,56c71cc5,05,c5,1a,df,0000000000000023,78617428fe928bc3,57c71dc5
35,f3,1f,0000000000000023,78617428fe928bc3,57c71dc5,02,d5,0a,df,0000000000000024,e430ba147f4945e1,57c81dc5
36,4d,d9,0000000000000024,e430ba147f4945e1,57c81dc5,04,ce,eb,25,0000000000000025,aa185d0a3fa4a2f0,57c81ec5
37,84,bc,0000000000000025,aa185d0a3fa4a2f0,57c81ec5,00,7e,a3,dd,0000000000000026,550c2e851fd25178,57c81ec5
38,df,46,0000000000000026,550c2e851fd25178,57c81ec5,03,c0,c7,07,0000000000000027,2a8617428fe928bc,58c91ec5
39,16,a3,0000000000000027,2a8617428fe928bc,58c91ec5,00,86,72,f4,0000000000000028,15430ba147f4945e,58c91ec5
40,62,1f,0000000000000028,15430ba147f4945e,58c91ec5,02,0d,25,28,0000000000000029,0aa185d0a3fa4a2f,58ca1ec5
41,bb,07,0000000000000029,0aa185d0a3fa4a2f,58ca1ec5,02,e0,9a,7a,000000000000002a,dd50c2e851fd2517,58cb1ec5
42,f0,d5,000000000000002a,dd50c2e851fd2517,58cb1ec5,0d,f1,57,a6,000000000000002b,b6a8617428fe928b,59cb1fc6
43,49,b6,000000000000002b,b6a8617428fe928b,59cb1fc6,0b,7b,22,59,000000000000002c,835430ba147f4945,5acc1fc7
44,87,08,000000000000002c,835430ba147f4945,5acc1fc7,0f,c9,0e,c7,000000000000002d,99aa185d0a3fa4a2,5bcd20c8
45,de,99,000000000000002d,99aa185d0a3fa4a2,5bcd20c8,04,6f,71,1e,000000000000002e,4cd50c2e851fd251,5bcd21c8
46,15,0f,000000000000002e,4cd50c2e851fd251,5bcd21c8,00,c8,09,c1,000000000000002f,fe6a8617428fe928,5bcd21c8
47,6c,01,000000000000002f,fe6a8617428fe928,5bcd21c8,07,12,52,40,0000000000000030,7f35430ba147f494,5cce22c8
48,bc,1e,0000000000000030,7f35430ba147f494,5cce22c8,0a,90,df,4f,0000000000000031,3f9aa185d0a3fa4a,5ccf22c9
49,f5,2b,0000000000000031,3f9aa185d0a3fa4a,5ccf22c9,0d,73,a2,d1,0000000000000032,1fcd50c2e851fd25,5dcf23ca
50,4e,97,0000000000000032,1fcd50c2e851fd25,5dcf23ca,0a,7a,a2,d8,0000000000000033,d7e6a8617428fe92,5dd023cb
51,87,a0,0000000000000033,d7e6a8617428fe92,5dd023cb,04,8f,00,8f,0000000000000034,6bf35430ba147f49,5dd024cb
52,d9,93,0000000000000034,6bf35430ba147f49,5dd024cb,0a,28,64,4c,0000000000000035,edf9aa185d0a3fa4,5dd124cc
53,10,c9,0000000000000035,edf9aa185d0a3fa4,5dd124cc,03,30,d1,e1,0000000000000036,76fcd50c2e851fd2,5ed224cc
54,6b,f8,0000000000000036,76fcd50c2e851fd2,5ed224cc,04,7e,04,7a,0000000000000037,3b7e6a8617428fe9,5ed225cc
55,a2,c9,0000000000000037,3b7e6a8617428fe9,5ed225cc,05,3b,67,5c,0000000000000038,c5bf35430ba147f4,5fd226cc
56,f6,15,0000000000000038,c5bf35430ba147f4,5fd226cc,03,ba,42,f8,0000000000000039,62df9aa185d0a3fa,60d326cc
57,4f,1d,0000000000000039,62df9aa185d0a3fa,60d326cc,01,e6,54,b2,000000000000003a,316fcd50c2e851fd,61d326cc
58,84,c1,000000000000003a,316fcd50c2e851fd,61d326cc,0e,6c,14,78,000000000000003b,c0b7e6a8617428fe,61d427cd
59,dd,f5,000000000000003b,c0b7e6a8617428fe,61d427cd,0d,ea,d0,3a,000000000000003c,605bf35430ba147f,62d428ce
60,13,37,000000000000003c,605bf35430ba147f,62d428ce,03,5b,88,d3,000000000000003d,e82df9aa185d0a3f,63d528ce
61,6a,9e,000000000000003d,e82df9aa185d0a3f,63d528ce,06,04,a4,a0,000000000000003e,ac16fcd50c2e851f,63d629ce
62,a1,04,000000000000003e,ac16fcd50c2e851f,63d629ce,0c,46,36,70,000000000000003f,8e0b7e6a8617428f,63d62acf
63,f8,46,000000000000003f,8e0b7e6a8617428f,63d62acf,0c,44,31,75,0000000000000040,9f05bf35430ba147,63d62bd0
64,50,f7,0000000000000040,9f05bf35430ba147,63d62bd0,06,2b,f4,df,0000000000000041,9782df9aa185d0a3,63d72cd0
65,99,e6,0000000000000041,9782df9aa185d0a3,63d72cd0,05,9f,0b,94,0000000000000042,93c16fcd50c2e851,64d72dd0
66,c2,78,0000000000000042,93c16fcd50c2e851,64d72dd0,0b,cf,9e,51,0000000000000043,91e0b7e6a8617428,65d82dd1
67,0b,dd,0000000000000043,91e0b7e6a8617428,65d82dd1,0b,99,6f,f6,0000000000000044,48f05bf35430ba14,66d92dd2
68,75,60,0000000000000044,48f05bf35430ba14,66d92dd2,0f,48,25,6d,0000000000000045,24782df9aa185d0a,67da2ed3
69,bc,65,0000000000000045,24782df9aa185d0a,67da2ed3,06,1f,77,68,0000000000000046,123c16fcd50c2e85,67db2fd3
70,e7,2d,0000000000000046,123c16fcd50c2e85,67db2fd3,01,4d,44,09,0000000000000047,d11e0b7e6a861742,68db2fd3
71,2e,d4,0000000000000047,d11e0b7e6a861742,68db2fd3,02,18,c4,dc,0000000000000048,688f05bf35430ba1,68dc2fd3
