corpus            : 48 decrypts, target P1030680 (72 letters)
window lengths    : 16-40
distinct windows  : 154469
  carried by >=2  : 1531  <- what crib_mine.py can emit
  carried by 1    : 152938  <- structurally excluded, never on the board

NEW legal placements from one-off content : 2691455
  distinct windows                        : 152937
  source messages contributing            : 48
  best loop count                         : 22

This is unexplored surface: legal, above unicity, and never tested. It is a
relay hypothesis, not a register one — so it is falsifiable exactly like every
other arm, and it does not require Thetis to speak Potsdam.

loops  len        src  placement
   22   40   P1030709  CHPRUEFENUSDNEUVERSCHLUESSELTABSETENXFUN@12
   22   40   P1030709  HPRUEFENUSDNEUVERSCHLUESSELTABSETENXFUNL@13
   22   40   P1030710  XUUUBOOTEYFUENFXUUUFLOTTXYVIERXUUUFLOTTX@14
   21   40   P1030681  SDERGEGENWAERTIGENLAGEERGEBENXGEZXREICHS@31
   21   40   P1030685  TZUEBELSTELLTGEGENSTELLENVERKEHRABZWONUL@31
   21   40   P1030685  ZUEBELSTELLTGEGENSTELLENVERKEHRABZWONULL@32
   21   40   P1030691  LOTTLXVVVUUUVIRSIUENNULEINSXXERBITTEJKIE@31
   21   40   P1030660  ULDREIKKEISELEKKXXISTSECHSSTUENDLICHESDO@11
   21   40   P1030660  LDREIKKEISELEKKXXISTSECHSSTUENDLICHESDOC@12
   21   40   P1030662  CHRXUUUSTUETZPUNKTLUEBECKVVVCHEFVIERXUUU@30
   21   40   P1030662  HRXUUUSTUETZPUNKTLUEBECKVVVCHEFVIERXUUUF@31
   21   40   P1030668  TYSSSMMMHHHSSSOSTAZWWFUNFXUUUFLOTTXYFUNF@19
   21   40   P1030668  TYSSSMMMHHHSSSOSTAZWWFUNFXUUUFLOTTXYFUNF@20
   21   40   P1030669  FIGKIELBLEIBENXDHEIKKBESTARTEHXNGERBETEN@29
   21   40   P1030669  IGKIELBLEIBENXDHEIKKBESTARTEHXNGERBETENX@30
   21   40   P1030672  REIKKEISELEKKXXEINSKKUNDICHTIGKEITROHRVI@10
   21   40   P1030672  EIKKEISELEKKXXEINSKKUNDICHTIGKEITROHRVIE@11
   21   40   P1030673  NANLAGEWARTEAUFUUULEITSTELLEXFRAGEXXWANN@23
   21   40   P1030673  ANLAGEWARTEAUFUUULEITSTELLEXFRAGEXXWANNW@24
   21   40   P1030675  USBXYVIERXYZWOFUNFXUXZWOUECHSXUUUFLXXHIE@21
   21   40   P1030675  SBXYVIERXYZWOFUNFXUXZWOUECHSXUUUFLXXHIER@22
   21   40   P1030688  UENDEYTTTFFFEINSFUNFYTTCFFFEINSSIBENVONV@10
   21   40   P1030688  ENDEYTTTFFFEINSFUNFYTTCFFFEINSSIBENVONVO@11
   21   40   P1030689  UNGVONVONEINSNEUNXUUUFLOTTFFFTTTEINSZWOZ@10

wrote Fixtures/p1030680_relay_menus.json: 23 cribs, 24 placements
