# TensorLUT M4 cold-start
# netlist=enigma_m4_netlist.json
# LUTs=925 DFFs=49 inits=59200
# crib_pt=TEST crib_ct=YCPY grundstellung=AAA (L=0 M=0 R=0)
# pop=12 explore=250 squeeze=500 lambdaMax=10.0 seed=2119188496
# phase gen bestCrypto bestFitness lambda nonBinary
explore 0 -4.587124 -4.587124 0.0000 58276
explore 1 -4.405357 -4.405357 0.0000 57318
explore 2 -4.195405 -4.195405 0.0000 56424
explore 3 -4.108697 -4.108697 0.0000 55558
explore 4 -4.098698 -4.098698 0.0000 54897
explore 5 -3.852785 -3.852785 0.0000 54861
explore 6 -3.747563 -3.747563 0.0000 53777
explore 7 -3.743513 -3.743513 0.0000 53444
explore 8 -3.579560 -3.579560 0.0000 53306
explore 9 -3.553259 -3.553259 0.0000 52674
explore 10 -3.475902 -3.475902 0.0000 52281
explore 11 -3.475902 -3.475902 0.0000 52281
explore 12 -3.475902 -3.475902 0.0000 52281
explore 13 -3.422234 -3.422234 0.0000 51059
explore 14 -3.325845 -3.325845 0.0000 50562
explore 15 -3.325845 -3.325845 0.0000 50562
explore 16 -3.325845 -3.325845 0.0000 50562
explore 17 -3.322712 -3.322712 0.0000 50231
explore 18 -3.322712 -3.322712 0.0000 50231
explore 19 -3.316607 -3.316607 0.0000 49889
explore 20 -3.316607 -3.316607 0.0000 49889
explore 21 -3.285022 -3.285022 0.0000 47027
explore 22 -3.257868 -3.257868 0.0000 47258
explore 23 -3.257523 -3.257523 0.0000 46682
explore 24 -3.257523 -3.257523 0.0000 46682
explore 25 -3.252242 -3.252242 0.0000 46105
explore 26 -3.236714 -3.236714 0.0000 45842
explore 27 -3.236714 -3.236714 0.0000 45842
explore 28 -3.230865 -3.230865 0.0000 45055
explore 29 -3.230865 -3.230865 0.0000 45055
explore 30 -3.215908 -3.215908 0.0000 44555
explore 31 -3.215908 -3.215908 0.0000 44555
explore 32 -3.196862 -3.196862 0.0000 44073
explore 33 -3.196862 -3.196862 0.0000 44073
explore 34 -3.196862 -3.196862 0.0000 44073
explore 35 -3.196862 -3.196862 0.0000 44073
explore 36 -3.193062 -3.193062 0.0000 43644
explore 37 -3.193062 -3.193062 0.0000 43644
explore 38 -3.193062 -3.193062 0.0000 43644
