TensorLUT stecker-involution: loading enigma_m4_netlist.json
# TensorLUT M4 stecker-involution
# netlist=enigma_m4_netlist.json LUTs=925 DFFs=49
# crib_pt=ABCDEFGHIJKLMN crib_ct=QPJLAGLXDISMTR len=14 grundstellung=AAA
# target_stecker=AB CD EF
# active_letters=ABCDEFGHIJKLMNPQRSTX
# pop=48 gens=120 maxPairs=3 seed=1475104272 immigrants=0.15 grow=true plateau=3 freeze=true parsimony=true blind=true
# seed_stecker=(random)
# gen bestFitness bestPairs pairCount pairBudget
0 -7.000000 AD 1 1
1 -7.000000 AD 1 1
2 -7.000000 AD 1 1
3 -5.000000 CD 1 1
4 -5.000000 CD 1 1
5 -5.000000 CD 1 1
6 -5.000000 CD 1 1
7 -5.000000 CD 1 2
8 -5.000000 CD 1 2
9 -5.000000 CD 1 2
10 -5.000000 CD 1 3
11 -5.000000 CD 1 3
12 -2.000000 AB CD 2 3
13 -2.000000 AB CD 2 3
14 -2.000000 AB CD 2 3
15 -2.000000 AB CD 2 3
16 -2.000000 AB CD 2 3
17 -2.000000 AB CD 2 3
18 -2.000000 AB CD 2 3
19 -2.000000 AB CD 2 3
20 -2.000000 AB CD 2 3
21 -2.000000 AB CD 2 3
22 -2.000000 AB CD 2 3
23 -2.000000 AB CD 2 3
24 -2.000000 AB CD 2 3
25 -2.000000 AB CD 2 3
26 -2.000000 AB CD 2 3
27 -2.000000 AB CD 2 3
28 -2.000000 AB CD 2 3
29 -2.000000 AB CD 2 3
30 -2.000000 AB CD 2 3
31 -2.000000 AB CD 2 3
32 -2.000000 AB CD 2 3
33 -2.000000 AB CD 2 3
34 -2.000000 AB CD 2 3
35 -2.000000 AB CD 2 3
36 -2.000000 AB CD 2 3
37 -2.000000 AB CD 2 3
38 -2.000000 AB CD 2 3
39 -2.000000 AB CD 2 3
40 -2.000000 AB CD 2 3
41 -2.000000 AB CD 2 3
42 -2.000000 AB CD 2 3
43 -2.000000 AB CD 2 3
44 -2.000000 AB CD 2 3
45 -2.000000 AB CD 2 3
46 -2.000000 AB CD 2 3
47 -2.000000 AB CD 2 3
48 -2.000000 AB CD 2 3
49 -2.000000 AB CD 2 3
50 -2.000000 AB CD 2 3
51 -2.000000 AB CD 2 3
52 -2.000000 AB CD 2 3
53 -2.000000 AB CD 2 3
54 -2.000000 AB CD 2 3
55 -2.000000 AB CD 2 3
56 -2.000000 AB CD 2 3
57 -2.000000 AB CD 2 3
58 -2.000000 AB CD 2 3
59 -2.000000 AB CD 2 3
60 0.000000 AB CD EF 3 3
# done fitness=0.000000 pairs=AB CD EF elapsed=363.6s active_map_match=PASS full_map_match=PASS
stecker-involution finished in 363.6s — log logs/tensorlut-m4-stecker-involution-blind-3pair.log
