# TensorLUT M4 stecker-involution
# netlist=enigma_m4_netlist.json LUTs=925 DFFs=49
# crib_pt=THEQUICKBROWNFXJMPSVLAZYDG crib_ct=YQGZJTWSLGCPDYKZUUWJMQGASN len=26 grundstellung=AAA
# target_stecker=AB CD EF GH IJ
# active_letters=ABCDEFGHIJKLMNOPQRSTUVWXYZ
# pop=64 gens=150 maxPairs=5 seed=1475104272 immigrants=0.15 grow=true parsimony=true blind=true
# seed_stecker=(random)
# gen bestFitness bestPairs pairCount pairBudget
0 -35.000000 (identity) 0 1
1 -31.000000 OV 1 1
2 -26.000000 CD 1 1
3 -26.000000 CD 1 1
4 -26.000000 CD 1 1
5 -26.000000 CD 1 1
6 -26.000000 CD 1 1
7 -26.000000 CD 1 1
8 -26.000000 CD 1 1
9 -26.000000 CD 1 1
10 -26.000000 CD 1 1
11 -26.000000 CD 1 1
12 -26.000000 CD 1 1
13 -26.000000 CD 1 1
14 -26.000000 CD 1 1
15 -26.000000 CD 1 1
16 -26.000000 CD 1 1
17 -26.000000 CD 1 1
18 -26.000000 CD 1 1
19 -26.000000 CD 1 1
20 -26.000000 CD 1 1
21 -26.000000 CD 1 1
